,Course Number,Course Title,L,P,U
558,MATH F111,Mathematics I,3,0,3
559,MATH F112,Mathematics II,3,0,3
560,MATH F113,Probability & Statistics,3,0,3
561,MATH F211,Mathematics III,3,0,3
562,MATH F212,Optimization,3,0,3
563,MATH F213,Discrete Mathematics,3,0,3
564,MATH F214,Elementary Real Analysis,3,0,3
565,MATH F215,Algebra-I,3,0,3
566,MATH F231,Number Theory,3,0,3
567,MATH F241,Mathematical Methods,3,0,3
568,MATH F242,Operations Research,3,0,3
569,MATH F243,Graphs and Networks,3,0,3
570,MATH F244,Measure & Integration,3,0,3
571,MATH F311,Introduction to Topology,3,0,3
572,MATH F312,Ordinary Differential Equations,3,0,3
573,MATH F313,Numerical Analysis,3,0,3
574,MATH F314,Algebra-II,3,0,3
575,MATH F341,Introduction to Functional Analysis,3,0,3
576,MATH F342,Differential Geometry,3,0,3
577,MATH F343,Partial Differential Equations,3,0,3
578,MATH F353,Statistical Inference and Applications,3,0,3
579,MATH F354,Complex Analysis,3,0,3
580,MATH F378,Advanced Probability Theory,3,0,3
581,MATH F420,Mathematical Modeling,3,0,4
582,MATH F421,Combinatorial Mathematics,3,0,3
583,MATH F422,Numerical Methodology for Partial Differential Equations,3,1,4
584,MATH F423,Introduction to Algebraic Topology,3,0,3
585,MATH F424,Applied Stochastic Process,3,1,4
586,MATH F431,Distribution Theory,3,0,3
587,MATH F432,Applied Statistical Methods,3,0,3
588,MATH F441,Discrete Mathematical Structures,3,0,3
589,MATH F444,Numerical Solutions of Ordinary Differential Equations,3,0,3
590,MATH F445,Mathematical Fluid Dynamics,3,0,3
591,MATH F456,Cosmology,3,0,3
592,MATH F471,Nonlinear Optimization,3,0,3
593,MATH F481,Commutative Algebra,3,0,3
594,MATH F492,Wavelet analysis and applications,3,1,4
595,ME F112,Workshop Practice,0,4,2
596,ME F211,Mechanics of Solids,3,0,3
597,ME F212,Fluid Mechanics,3,0,3
598,ME F216,Materials Science and Engineering,2,1,3
599,ME F217,Applied Thermodynamics,3,1,4
600,ME F218,Advanced Mechanics of Solids,2,0,2
601,ME F219,Manufacturing Processes,3,1,4
602,ME F220,Heat Transfer,3,1,4
603,ME F221,Mechanisms and Machines,3,0,3
604,ME F314,Design of Machine Elements,3,0,3
605,ME F315,Advanced Manufacturing Processes,2,1,3
606,ME F316,Manufacturing Management,2,0,2
607,ME F317,"Engines, Motors, and Mobility",2,0,2
608,ME F318,Computer-Aided Design,1,2,3
609,ME F319,Vibrations and Control,3,0,3
610,ME F320,Engineering Optimization,3,0,3
611,ME F340,Introduction to Sports Engg.,3,0,3
612,ME F341,Prime Movers & Fluid Machines,2,1,3
613,ME F411,Fluid Power Systems,3,1,4
614,ME F413,Nonlinear Vibrations,3,0,3
615,ME F414,Fuel Cell Science and Technology,0,0,3*
616,ME F415,Gas Dynamics,3,0,3
617,ME F416,Reverse Engineering and Rapid Prototyping,3,0,3
618,ME F417,Advanced Metal Forming,3,0,3
619,ME F418,Rocket and Spacecraft Propulsion,3,0,3
620,ME F419,Total Product Integration Engineering,3,0,3
621,ME F420,Power Plant Engineering,3,0,3
622,ME F423,Microfluidics and Applications,0,0,4
623,ME F424,Energy Management,3,0,3
624,ME F425,Additive Manufacturing,3,0,3
625,ME F426,Industry 4.0 in Manufacturing,3,0,3
626,ME F432,Computer Aided Manufacturing,2,1,3
627,ME F433,Solar Thermal Process Engineering,3,1,4
628,ME F441,Automotive Vehicles,3,0,3
629,ME F443,Quality Control Assurance and Reliability,3,0,3
630,ME F451,Mechanical Equipment Design,3,0,3
631,ME F452,Composite Materials & Design,3,0,3
632,ME F461,Refrigeration and Air conditioning,3,0,3
633,ME F472,Precision Engineering,3,0,3
634,ME F482,Combustion,3,0,3
635,ME F483,Wind Energy,3,0,3
636,ME F484,Automotive Technology,3,0,3
637,ME F485,Numerical Techniques for Fluid Flow and Heat Transfer,3,0,3
638,ME G511,Mechanism and Robotics,3,2,5
639,ME G512,Finite Element Methods,3,2,5
640,ME G514,Turbomachinery,3,2,5
641,ME G515,Computational Fluid Dynamics,3,2,5
642,ME G533,Conduction and Radiation Heat Transfer,3,2,5
643,ME G534,Convective Heat and Mass Transfer,3,2,5
644,MF F211,Mechanics of Solids,3,0,3
645,MF F216,Materials Science and Engineering,2,1,3
646,MF F217,Machine Drawing,0,2,2
647,MF F218,Transport Phenomena in Manufacturing,3,1,4
648,MF F219,Operations Management,3,0,3
649,MF F220,Metrology and Quality Assurance,2,1,3
650,MF F221,Mechanisms and Machines,3,0,3
651,MF F222,"Casting, Forming and Welding",3,1,4
652,MF F311,Mechatronics and Automation,2,1,3
653,MF F314,Design of Machine Elements,3,0,3
654,MF F315,Automation and Control,3,1,4
655,MF F316,Machining and Machine Tools,3,1,4
656,MF F317,Computer Aided Design and Manufacturing,2,1,3
657,MF F318,Non Traditional Manufacturing Processes,3,0,3
658,MF F319,Supply Chain Management,3,0,3
659,MF F320,Engineering Optimization,3,0,3
660,MF F411,Fluid Power Systems,3,1,4
661,MF F412,Automotive Systems,3,0,3
662,MF F413,Mechanical Vibrations and Acoustics,3,0,3
663,MF F414,Manufacturing Excellence,3,0,3
664,MF F418,Lean Manufacturing,3,0,3
665,MF F421,Supply chain management,0,0,4
666,MF F442,Advances in Materials Science,3,0,3
667,MF F453,Industrial Relations,3,0,3
668,MF F463,Maintenance and Safety,3,0,3
669,MF F471,Instrumentation and Control,3,0,3
670,MF F472,Precision Engineering,3,0,3
671,MF F473,Product Design and Development,3,0,3
672,MF F474,Product Design and Development Projects,0,0,3
673,MF F485,Sustainable Manufacturing,3,0,3
674,MGTS F211,Principles of Management,3,0,3
675,MGTS F351,Organisational Behaviour,3,0,3
676,MGTS F433,Advertising and Sales Promotion,3,0,3
677,MST G522,Advanced Composites,3,2,5
678,PHA F211,Pharmaceutical Analysis,2,1,3
679,PHA F212,Dispensing Pharmacy,2,1,3
680,PHA F213,Microbiology,2,1,3
681,PHA F214,"Anatomy, Physiology & Hygiene",2,1,3
682,PHA F215,Introduction to Molecular Biology and Immunology,3,0,3
683,PHA F241,Pharmaceutical Chemistry,2,1,3
684,PHA F242,Biological Chemistry,2,1,3
685,PHA F243,Industrial Pharmacy,2,1,3
686,PHA F244,Physical Pharmacy,2,1,3
687,PHA F311,Pharmacology I,2,1,3
688,PHA F312,Medicinal Chemistry I,2,1,3
689,PHA F313,Instrumental Methods of Analysis,2,1,4
690,PHA F314,Pharmaceutical Formulations and Biopharmaceutics,2,1,3
691,PHA F341,Pharmacology II,2,1,3
692,PHA F342,Medicinal Chemistry II,2,1,3
693,PHA F343,Forensic Pharmacy,2,0,2
694,PHA F344,Natural Drugs,2,1,3
695,PHA F413,Pharmaceutical Management and Quality Control,3,0,3
696,PHA F414,Biopharmaceutics,3,0,3
697,PHA F415,Pathophysiology,3,0,3
698,PHA F416,Chemistry of Synthetic Drugs,3,0,3
699,PHA F417,Pharmacoeconomics,3,0,3
700,PHA F422,Cosmetic Science,2,1,3
701,PHA F432,Hospital Pharmacy,3,0,3
702,PHA F441,Biochemical Engineering,3,0,3
703,PHA F442,Applied Pharmaceutical Chemistry,3,0,3
704,PHA F461,Phytochemistry,2,1,3
705,PHY F110,Physics Laboratory,0,2,1
706,PHY F111,"Mechanics, Oscillations and Waves",3,0,3
707,PHY F112,General Physics,3,0,3
708,PHY F211,Classical Mechanics,3,1,4
709,PHY F212,Electromagnetic Theory I,3,0,3
710,PHY F213,Optics,3,0,3
711,PHY F214,"Electricity, Magnetism & Optics Laboratory",0,2,2
712,PHY F215,Introduction to Astronomy & Astrophysics,3,0,3
713,PHY F221,Modern Physics,3,0,3
714,PHY F241,Electromagnetic Theory II,3,1,4
715,PHY F242,Quantum Mechanics I,3,0,3
716,PHY F243,Mathematical Methods of Physics,3,0,3
717,PHY F244,Modern Physics Laboratory,0,2,2
718,PHY F311,Quantum Mechanics II,3,0,3
719,PHY F312,Statistical Mechanics,3,0,3
720,PHY F313,Computational Physics,3,0,3
721,PHY F315,Theory of Relativity,3,0,3
722,PHY F316,Musical Acoustics,3,0,3
723,PHY F317,Introduction to Radio Astronomy,3,0,3
724,PHY F341,Solid State Physics,3,0,3
725,PHY F342,Atomic & Molecular Physics,3,0,3
726,PHY F343,Nuclear & Particle Physics,3,0,3
727,PHY F344,Advanced Physics Laboratory,0,3,3
728,PHY F345,Quantum Mechanics for Engineers,3,0,3
729,PHY F378,Plasma Physics and its Applications,3,0,3
730,PHY F379,Thin Film Technology,3,0,3
731,PHY F412,Introduction To Quantum Field Theory,3,1,4
732,PHY F413,Particle Physics,3,1,4
733,PHY F414,Physics of Advanced Materials,3,1,4
734,PHY F415,General Theory of Relativity and Cosmology,3,1,4
735,PHY F416,Soft Condensed Matter Physics,3,1,4
736,PHY F417,Experimental Methods of Physics,3,1,4
737,PHY F418,Lasers and Applications,3,1,4
738,PHY F419,Advanced Solid State Physics,3,1,4
739,PHY F420,Quantum Optics,3,1,4
740,PHY F421,Advanced Quantum Mechanics,3,1,4
741,PHY F422,Group Theory and Applications,3,1,4
742,PHY F423,Special Topics in Statistical Mechanics,3,1,4
743,PHY F424,Advanced Electrodynamics,3,1,4
744,PHY F425,Advanced Mathematical Methods of Physics,3,1,4
745,PHY F426,Physics of Semiconductor Devices,3,1,4
746,PHY F427,Atmospheric Physics,3,0,3
747,PHY F428,Quantum Information Theory,3,0,3
748,PHY F431,Geometrical Methods in Physics,3,0,3
749,PHY F432,Classical Theory of Fields: A Symmetry Perspective,0,0,4
750,PHY G512,Advanced Quantum Field Theory,3,0,3
751,SANS F111,Sanskrit,3,0,3
752,XXX F266,Study Project,0,0,3
753,XXX F366,Laboratory Project,0,0,3
754,XXX F367,Laboratory Project,0,0,3
755,XXX F376,Design Project,0,0,3
756,XXX F377,Design Project,0,0,3
757,XXX F491,Special Project,0,0,3
